Emissions per kilogram,Entity,Year
1.8136259060000002,Popcorn,2022
1.5006180199999999,Poppadoms,2022
12.163890844686144,Pork chops,2022
11.976514490174353,Pork loin,2022
6.186894384955056,Pork sausage rolls,2022
9.767878020218921,Pork sausages,2022
1.555169024137931,Porridge (oatmeal),2022
0.7742251222222223,Potato croquettes,2022
0.20727616209386285,Potatoes,2022
4.93285324,Prawn crackers,2022
20.91128278264463,Prawns,2022
3.3728507866666666,Protein bar,2022
1.7437289185185187,Protein shake,2022
1.3239754169230769,Pumpkin seeds,2022
4.666832655555556,Quiche,2022
1.1386422326086956,Quinoa,2022
3.288695422222222,Rapeseed oil,2022
8.3709720025,Raspberries,2022
5.107337593055555,Raspberry jam,2022
3.925909801226994,Rice,2022
1.4417970766666668,Rice milk,2022
